A,B,C,D

0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0

0.22321428571428573,0.22321428571428573,0.2229654403567447,0.22321428571428573

0.7254464285714286,0.6138392857142857,0.2229654403567447,0.8370535714285714

0.7254464285714286,1.0602678571428572,0.6688963210702341,0.1674107142857143

0.3348642178554048,1.171875,1.1148272017837235,0.5580357142857143

0.3348214285714286,1.171875,1.282051282051282,1.2834821428571428

0.7812500000000001,0.2626697621788178,1.282051282051282,1.2834821428571428

0.7812500000000001,0.5022321428571429,0.61738698862709,1.2834821428571428

0.7812500000000001,1.171875,0.33444816053511706,1.2834821428571428

0.7812500000000001,1.2834821428571428,1.1148272017837235,0.22321428571428573

0.3388609056311135,1.2834821428571428,1.282051282051282,0.5580357142857143

0.3348214285714286,1.2834821428571428,1.282051282051282,1.171875

1.0044642857142858,0.20628326464443952,1.282051282051282,1.3392857142857144

1.0044642857142858,0.5022321428571429,0.6131549609810479,1.3392857142857144

1.0044642857142858,1.1160714285714286,0.33444816053511706,1.3392857142857144

1.0044642857142858,1.2276785714285716,1.1148272017837235,0.22321428571428573

0.33638923081810523,1.2276785714285716,1.1148272017837235,0.6138392857142857

0.390625,1.2276785714285716,1.1148272017837235,1.2834821428571428

1.1160714285714286,0.22321428571428573,1.1148272017837235,1.2834821428571428

1.3392857142857144,0.5580357142857143,0.5574136008918618,1.2834821428571428

1.3392857142857144,1.171875,0.4459308807134894,1.2834821428571428

1.3392857142857144,1.2834821428571428,1.0033444816053512,0.27901785714285715

0.6696428571428572,1.2834821428571428,1.0033444816053512,0.5022321428571429

0.22321428571428573,1.2834821428571428,1.0033444816053512,1.2834821428571428

0.8370535714285715,0.1674107142857143,1.0033444816053512,1.2834821428571428

1.171875,0.5580357142857143,0.33444816053511706,1.2834821428571428

1.171875,1.2276785714285716,0.39018952062430323,1.2834821428571428

1.171875,1.2834821428571428,1.0590858416945372,0.3348214285714286

0.5509745556855101,1.2834821428571428,1.2263099219620959,0.5580357142857143

0.27901785714285715,1.2834821428571428,1.2263099219620959,1.2276785714285716

0.8928571428571429,0.22321428571428573,1.2263099219620959,1.2834821428571428

1.2276785714285716,0.5580357142857143,0.7246376811594203,1.2834821428571428

1.2276785714285716,1.171875,0.2787068004459309,1.2834821428571428

1.2276785714285716,1.2834821428571428,1.0033444816053512,0.17526666457523657

