A,B,C,D
0,0,0,0
0.0,10.0,0.0,25.666666666666664
9.0,56.5,0.0,0.0
3.0,0.0,40.0,4.0
7.0,22.5,7.5,0.0
1.75,9.0,0,25.333333333333336
24.4,33.833333333333336,5.0,0.0
0.75,55.2,0.0,17.5
35.733333333333334,0.0,0.0,46.33333333333333
1.95,20.666666666666668,19.0,0
44.977777777777774,0.0,5.166666666666667,21.5
6.9,31.333333333333336,0.0,47.0
10.90909090909091,0.0,15.3,0.0
3.0,37.0,15.3,26.666666666666664
1.2222222222222223,6.5,16.177777777777777,49.4
19.636363636363637,60.0,1.8666666666666667,13.0
11.0,0,9.4,43.0
2.3,0.0,3.904761904761905,66.125
39.83333333333333,13.5,1.0,17.200000000000003
8.166666666666666,42.0,6.666666666666666,3.1
59.75,91.66666666666666,7.5,0.0
2.4,124.9,21.75,0.0
29.583333333333332,127.28571428571428,5.333333333333333,0.0
1.5555555555555556,172.85714285714286,0,22.5
12.533333333333335,186.11111111111111,0,48.589285714285715
62.66666666666667,23.228571428571428,1.0,16.19047619047619
122.66666666666666,64.13888888888889,0.0,0.0
70.3,102.83636363636364,0.0,27.285714285714285
15.583333333333334,151.28787878787878,0,68.475
75.58333333333334,115.63333333333333,1.0,22.089285714285715
135.58333333333331,29.9,5.5,0.0
0.5555555555555556,89.9,0.0,41.625
33.023809523809526,10.2,0.0,78.0
93.02380952380952,29.225,0.0,25.125
129.48484848484847,0.3333333333333333,6.75,77.22222222222223
22.726190476190474,7.199999999999999,0.0,120.13636363636363
82.13095238095238,29.333333333333336,1.0,17.5
142.13095238095238,0.0,6.0,71.9090909090909
2.375,35.41666666666667,0.0,122.5
40.16666666666667,82.75,0.0,4.777777777777779
1.6,0.6666666666666666,11.2,10.88888888888889
4.766666666666667,41.58333333333333,7.571428571428571,25.194444444444443
37.06060606060606,0.0,0.5,30.5
8.583333333333334,9.0,5.222222222222222,26.125
0.25,48.5,7.966666666666667,28.727272727272727
31.083333333333332,0,4.444444444444445,88.72727272727272
2.4444444444444446,25.0,35.138888888888886,7.333333333333334
35.166666666666664,0.0,10.36111111111111,23.75
4.733333333333333,45.0,1.6,83.75
13.59090909090909,0,18.5,111.81818181818181
6.375,14.5,7.75,24.666666666666664
1.2222222222222223,7.0,0.0,84.66666666666666
21.272727272727273,33.25,0.6666666666666666,10.238636363636363
9.333333333333334,0.0,4.0,69.5
1.5,37.33333333333333,0,129.5
42.58333333333333,80.4,0.0,7.5
7.35,108.5,0.0,29.233333333333334
47.583333333333336,136.64285714285714,1.6666666666666667,0.625
7.875,174.51388888888889,9.333333333333334,13.444444444444443
59.47727272727273,186.36363636363637,12.75,0.14285714285714285
2.803571428571429,237.96969696969697,0.0,41.33333333333333
7.509090909090909,297.969696969697,0.0,101.33333333333334
49.33333333333333,16.8989898989899,3.6,103.62222222222222
109.33333333333334,73.83333333333334,10.666666666666666,0.42857142857142855
131.45454545454547,133.83333333333331,0.0,35.18181818181819
18.272727272727273,193.83333333333331,0.0,95.18181818181819
76.36363636363637,190.625,0.0,16.984848484848484
136.36363636363637,25.090909090909093,0.0,8.0
0.875,84.5530303030303,0.0,35.95454545454545
47.86666666666667,7.2,0.0,95.95454545454545
107.86666666666667,36.35,1.0,16.234848484848484
166.14141414141415,0.5178571428571428,5.5,75.08333333333334
23.183333333333334,7.5,0.0,135.08333333333331
83.18333333333334,35.43333333333333,2.0,13.181818181818183
143.18333333333334,0.0,9.5,70.33333333333334
0.8444444444444444,38.0,5.857142857142857,130.33333333333331
40.99242424242424,61.35714285714286,0.0,3.166666666666667
8.11111111111111,25.27777777777778,21.0,6.977777777777778
2.022222222222222,37.2,15.5,28.0
53.32954545454545,12.857142857142858,1.0,29.866666666666667
23.666666666666664,68.5,3.6666666666666665,33.888888888888886
0.5,111.0,6.777777777777778,26.38888888888889
41.0,8.6,3.7142857142857144,86.38888888888889
7.666666666666667,54.6,21.833333333333332,9.46031746031746
41.66666666666667,0.0,6.444444444444445,20.71212121212121
1.1,54.0,2.857142857142857,80.18181818181819
14.0,0,26.055555555555557,123.68181818181819
5.888888888888889,0.0,6.6,23.492424242424242
1.4,0.0,24.958333333333332,83.49242424242425
26.0,17.5,5.888888888888889,10.3
14.166666666666666,0.0,6.2,65.47727272727272
2.1,29.25,2.4444444444444446,125.47727272727273
37.83333333333333,52.8,2.0,9.8
6.636363636363637,109.19999999999999,2.0,43.06666666666666
56.25,125.83333333333334,13.0,0.625
10.2,174.14285714285714,17.5,14.444444444444445
50.75,221.75,4.0,0.14285714285714285
0.5555555555555556,252.66666666666669,0.0,36.32575757575758
6.866666666666667,296.76666666666665,0.0,96.32575757575756
57.83333333333333,22.666666666666668,0.0,117.33333333333334
117.83333333333334,79.4047619047619,5.25,2.1607142857142856
133.54545454545456,119.875,0.5,28.583333333333336
10.083333333333334,161.9,0.0,88.58333333333334
64.58333333333334,148.15873015873015,2.5,12.5
124.58333333333333,31.57142857142857,4.2,15.0
0.375,85.875,3.857142857142857,34.53030303030303
33.25,9.1,0.0,94.53030303030303
93.25,25.6,1.0,14.318181818181818
153.25,0.2,4.5,73.87121212121212
10.916666666666666,5.666666666666667,0.0,133.87121212121212
68.41666666666666,26.25,0.5,11.666666666666668
128.41666666666669,0.0,4.6,69.87121212121212
0.0,27.0,5.4,129.87121212121212
31.416666666666668,87.0,0.0,2.5555555555555554
9.8,23.666666666666668,21.0,6.45
2.1,46.5,6.5,32.1
24.583333333333332,0,0.25,29.0
10.083333333333334,0.0,6.2,43.111111111111114
4.0,29.0,15.333333333333334,29.583333333333332
19.416666666666668,0.0,0.0,89.58333333333333
9.333333333333334,23.5,9.833333333333334,6.080808080808081
29.25,0.0,2.4444444444444446,18.583333333333332
0.7777777777777778,10.75,4.0,78.5
5.090909090909091,0.0,27.0,136.63636363636363
10.0,21.333333333333336,14.628571428571428,23.545454545454547
1.1111111111111112,9.0,44.91111111111111,83.54545454545455
